Date,Symbol,Open,High,Low,Close
2017-07-23,BCH,555.89,578.97,411.78,413.06
2017-07-24,BCH,412.58,578.89,409.21,440.7
2017-07-25,BCH,441.35,541.66,338.09,406.9
2017-07-26,BCH,407.08,486.16,321.79,365.82
2017-07-27,BCH,417.1,460.97,367.78,385.48
2017-07-28,BCH,386.65,465.18,217.06,406.05
2017-07-29,BCH,410.57,423.73,323.73,384.77
2017-07-30,BCH,385.14,385.14,316.25,345.66
2017-07-31,BCH,346.36,347.83,266.19,294.46
2017-08-01,BCH,294.6,426.11,210.38,380.01
2017-08-02,BCH,382.38,756.93,309.33,452.66
2017-08-03,BCH,448.49,519.28,364.05,364.05
2017-08-04,BCH,362.18,386.93,233.05,233.05
2017-08-05,BCH,231.11,273.04,200.98,213.15
2017-08-06,BCH,212.18,223.7,203.45,220.66
2017-08-07,BCH,223.76,373.87,223.76,319.69
2017-08-08,BCH,321.35,386.29,309.61,345.49
2017-08-09,BCH,345.28,349.32,298.61,303.89
2017-08-10,BCH,305.21,311.68,274.68,275.95
2017-08-11,BCH,275.88,351.16,275.02,328.24
2017-08-12,BCH,327.82,341.85,313.7,317.09
2017-08-13,BCH,316.29,317.47,298.05,298.05
2017-08-14,BCH,296.1,327.39,293.5,297.68
2017-08-15,BCH,298.18,306.52,292.88,297.86
2017-08-16,BCH,297.97,307.62,290.21,300.21
2017-08-17,BCH,301.02,460.53,293.1,460.53
2017-08-18,BCH,458.67,764.07,458.67,690.24
2017-08-19,BCH,697.04,1091.97,625.16,754.56
2017-08-20,BCH,772.42,858.96,683.94,712.87
2017-08-21,BCH,723.7,756.59,573.47,599.64
2017-08-22,BCH,596.19,734.88,570.27,690.88
2017-08-23,BCH,690.96,715.67,651.32,669.4
2017-08-24,BCH,670.03,697.32,617.31,628.11
2017-08-25,BCH,627.06,665.41,624.3,641.05
2017-08-26,BCH,641.88,646.93,622.36,625.32
2017-08-27,BCH,625.89,654.87,589.64,620.9
2017-08-28,BCH,619.7,626.88,595.52,596.18
2017-08-29,BCH,596.13,599.3,528.32,552.93
2017-08-30,BCH,549.32,604.69,535.92,575.21
2017-08-31,BCH,576.25,603.69,572.14,588.17
2017-09-01,BCH,588.4,645.52,586.73,622.17
2017-09-02,BCH,621.96,642.05,560.58,575.9
